epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1559.01,1.09105,1.30287,1.09763,0.67394,0.71765,0.72799,0.49322,1.1302,1.68678,1.11112,0.00040707,0.00040707,0.00040707
66,1582.25,1.0124,1.14526,1.04483,0.77402,0.69975,0.75182,0.50645,1.15437,1.51586,1.13002,0.000396071,0.000396071,0.000396071
67,1606.06,1.09741,1.22832,1.08621,0.73873,0.67163,0.75758,0.52037,1.04225,1.71896,1.01081,0.000385073,0.000385073,0.000385073
68,1629.45,1.07149,1.22761,1.06447,0.7228,0.70083,0.76253,0.51561,1.07114,1.53739,1.0106,0.000374074,0.000374074,0.000374074
69,1652.85,1.05769,1.20482,1.08323,0.70813,0.73749,0.76244,0.50875,1.11004,1.40247,1.03328,0.000363075,0.000363075,0.000363075
70,1676.22,1.01002,1.14853,1.06034,0.7085,0.72441,0.75767,0.52789,1.13107,1.33772,1.04252,0.000352076,0.000352076,0.000352076
71,1700.03,1.05104,1.16032,1.04653,0.75726,0.73501,0.76296,0.524,1.11634,1.29802,1.0388,0.000341077,0.000341077,0.000341077
72,1723.12,1.00006,1.14139,1.05398,0.80878,0.71099,0.7539,0.52286,1.0913,1.37278,1.01163,0.000330078,0.000330078,0.000330078
73,1747.82,1.02029,1.14628,1.06252,0.78309,0.6923,0.75601,0.52609,1.1007,1.35524,1.0233,0.000319079,0.000319079,0.000319079
74,1769.82,1.01861,1.11493,1.04275,0.82795,0.66837,0.76935,0.52883,1.07772,1.33879,1.00437,0.00030808,0.00030808,0.00030808
75,1793.79,1.06072,1.21828,1.05457,0.81514,0.69265,0.77264,0.54394,1.07654,1.26277,0.98515,0.000297081,0.000297081,0.000297081
76,1817.11,1.05121,1.1247,1.05733,0.81098,0.66204,0.7637,0.5442,1.0911,1.21786,0.99381,0.000286083,0.000286083,0.000286083
77,1840.14,1.00002,1.1369,1.05547,0.78355,0.76022,0.77631,0.54011,1.06466,1.21067,0.99103,0.000275084,0.000275084,0.000275084
78,1863.43,1.0404,1.1664,1.05771,0.81968,0.73863,0.79079,0.55242,1.04527,1.2186,0.98688,0.000264085,0.000264085,0.000264085
79,1886.76,0.99334,1.11095,1.03357,0.81099,0.74596,0.7753,0.56093,1.02547,1.30086,0.99808,0.000253086,0.000253086,0.000253086
80,1910.15,1.02354,1.1282,1.04066,0.74854,0.76533,0.77582,0.55212,1.05056,1.26572,1.05255,0.000242087,0.000242087,0.000242087
81,1935.78,1.01081,1.13294,1.05399,0.79091,0.69777,0.76174,0.54131,1.02924,1.24463,1.04053,0.000231088,0.000231088,0.000231088
82,1958.45,0.94323,1.04953,1.00954,0.88078,0.70952,0.78215,0.55053,1.01019,1.24811,0.99344,0.000220089,0.000220089,0.000220089
83,1981.99,1.08163,1.16231,1.07393,0.73212,0.75955,0.77101,0.55399,1.03542,1.23116,0.98357,0.00020909,0.00020909,0.00020909
84,2004.08,1.00381,1.13693,1.06133,0.7919,0.68982,0.76115,0.56302,1.05317,1.24386,1.01014,0.000198091,0.000198091,0.000198091
