epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,698.283,0.88225,1.10349,1.09947,0.8457,0.71712,0.75938,0.57767,0.94576,1.18245,1.07677,0.000566027,0.000566027,0.000566027
63,709.359,0.90138,1.05256,1.10239,0.89167,0.68472,0.77149,0.59555,0.91478,1.17983,1.06667,0.00055188,0.00055188,0.00055188
64,720.477,0.84365,1.0843,1.11887,0.79412,0.69923,0.78893,0.58614,0.89241,1.13234,1.06458,0.000537733,0.000537733,0.000537733
65,731.537,0.83727,1.07412,1.10797,0.7439,0.72714,0.79555,0.58841,0.8407,1.10212,1.04455,0.000523586,0.000523586,0.000523586
66,742.591,0.78588,1.03415,1.08761,0.68007,0.72527,0.78117,0.58362,0.83516,1.13599,1.04561,0.000509438,0.000509438,0.000509438
67,753.757,0.85505,1.09003,1.09379,0.89142,0.63081,0.81697,0.60147,0.90739,1.13038,1.06576,0.000495291,0.000495291,0.000495291
68,764.883,0.7706,0.9862,1.04338,0.8764,0.7802,0.84024,0.60402,0.94014,1.13279,1.08859,0.000481144,0.000481144,0.000481144
69,776.095,0.88315,1.10339,1.12262,0.92194,0.78474,0.85181,0.59601,0.95587,1.12217,1.10228,0.000466997,0.000466997,0.000466997
70,787.289,0.87507,1.0991,1.14265,0.9099,0.80397,0.86067,0.61046,0.99751,1.12739,1.14529,0.00045285,0.00045285,0.00045285
71,798.364,0.8739,1.01124,1.10447,0.93959,0.76746,0.85614,0.61547,0.97439,1.11269,1.126,0.000438703,0.000438703,0.000438703
72,809.544,0.82434,0.97298,1.09598,0.87582,0.7774,0.84197,0.63587,0.89772,1.05842,1.06832,0.000424556,0.000424556,0.000424556
73,820.636,0.86555,0.9698,1.11718,0.87319,0.78967,0.85182,0.6556,0.85007,1.04149,1.03808,0.000410409,0.000410409,0.000410409
74,831.792,0.82912,0.99159,1.08579,0.90444,0.74554,0.84698,0.66456,0.81723,1.06378,1.02358,0.000396262,0.000396262,0.000396262
75,843.089,0.82949,0.96983,1.06867,0.9293,0.73633,0.84675,0.65042,0.79259,1.01361,1.00404,0.000382115,0.000382115,0.000382115
76,854.313,0.78764,1.00679,1.09487,0.84368,0.80574,0.85155,0.65902,0.78669,1.01982,1.00707,0.000367967,0.000367967,0.000367967
77,865.42,0.71752,0.90709,1.04379,0.85988,0.80992,0.86212,0.6632,0.78987,1.03333,1.01103,0.00035382,0.00035382,0.00035382
78,876.482,0.80366,0.94128,1.06397,0.92104,0.79635,0.86039,0.6745,0.74978,1.02131,0.98699,0.000339673,0.000339673,0.000339673
79,887.668,0.74736,0.8733,1.05302,0.93186,0.79711,0.86114,0.6604,0.73616,0.97468,0.97688,0.000325526,0.000325526,0.000325526
80,898.841,0.71975,0.9281,1.03246,0.90082,0.79246,0.86795,0.66148,0.7668,0.94418,0.98538,0.000311379,0.000311379,0.000311379
81,909.909,0.79119,0.9347,1.06393,0.9458,0.78472,0.8887,0.65846,0.77236,0.95693,0.99473,0.000297232,0.000297232,0.000297232
